!	PONCT
love	V
love	VIMP
love	VS
lovent	V
lovent	VS
lover	VINF
lovera	V
loverai	V
loveraient	V
loverais	V
loverait	V
loveras	V
loverez	V
loveriez	V
loverions	V
loverons	V
loveront	V
loves	V
loves	VS
lovez	V
lovez	VIMP
loviez	V
loviez	VS
lovions	V
lovions	VS
lovons	V
lovons	VIMP
lovâmes	V
lovât	VS
lovâtes	V
lovèrent	V
lové	VPP
lovée	VPP
lovées	VPP
lovés	VPP
loyer	NC
loyers	NC
lu	VPP
ludique	ADJ
ludiques	ADJ
ludothèque	NC
ludothèques	NC
lue	VPP
lues	VPP
lui	CLO
lui	PRO
lui-même	PRO
lumineuse	ADJ
lumineuses	ADJ
lumineux	ADJ
lumière	NC
lumières	NC
lundi	NC
lundis	NC
lune	NC
lunes	NC
lunette	NC
lunettes	NC
lurent	V
luron	NC
luronne	NC
luronnes	NC
lurons	NC
lus	V
lus	VPP
lusse	VS
lussent	VS
lusses	VS
lussiez	VS
lussions	VS
lut	V
lutta	V
luttai	V
luttaient	V
luttais	V
luttait	V
luttant	VPR
luttas	V
luttasse	VS
luttassent	VS
luttasses	VS
luttassiez	VS
luttassions	VS
lutte	NC
lutte	V
lutte	VIMP
lutte	VS
luttent	V
luttent	VS
lutter	VINF
luttera	V
lutterai	V
lutteraient	V
lutterais	V
lutterait	V
lutteras	V
lutterez	V
lutteriez	V
lutterions	V
lutterons	V
lutteront	V
luttes	NC
luttes	V
luttes	VS
luttez	V
luttez	VIMP
luttiez	V
luttiez	VS
luttions	V
luttions	VS
luttons	V
luttons	VIMP
luttâmes	V
luttât	VS
luttâtes	V
luttèrent	V
lutté	VPP
luttée	VPP
luttées	VPP
luttés	VPP
lycée	NC
lycéen	NC
lycéenne	NC
lycéennes	NC
lycéens	NC
lycées	NC
lyonnais	ADJ
lyonnaise	ADJ
lyonnaises	ADJ
là	ADV
là-bas	ADV
lâcha	V
lâchai	V
lâchaient	V
lâchais	V
lâchait	V
lâchant	VPR
lâchas	V
lâchasse	VS
lâchassent	VS
lâchasses	VS
lâchassiez	VS
lâchassions	VS
lâche	V
lâche	VIMP
lâche	VS
lâchent	V
lâchent	VS
lâcher	VINF
lâchera	V
lâcherai	V
lâcheraient	V
lâcherais	V
lâcherait	V
lâcheras	V
lâcherez	V
lâcheriez	V
lâcherions	V
lâcherons	V
lâcheront	V
lâches	V
lâches	VS
lâchez	V
lâchez	VIMP
lâchiez	V
lâchiez	VS
lâchions	V
lâchions	VS
lâchons	V
lâchons	VIMP
lâchâmes	V
lâchât	VS
lâchâtes	V
lâchèrent	V
lâché	VPP
lâchée	VPP
lâchées	VPP
lâchés	VPP
lève	V
lève	VIMP
lève	VS
lèvent	V
lèvent	VS
lèvera	V
lèverai	V
lèveraient	V
lèverais	V
lèverait	V
lèveras	V
lèverez	V
lèveriez	V
lèverions	V
lèverons	V
lèveront	V
lèves	V
lèves	VS
légal	ADJ
légale	ADJ
légales	ADJ
légaux	ADJ
légende	NC
légendes	NC
léger	ADJ
légers	ADJ
légume	NC
légumes	NC
légère	ADJ
légèrement	ADV
légères	ADJ
lûmes	V
lût	VS
lûtes	V
m'	CLO
m'	CLO
m'	CLR
ma	DET
machine	NC
machines	NC
madame	NC
mademoiselle	NC
magasin	NC
magasins	NC
magazine	NC
magazines	NC
magie	NC
magies	NC
magique	ADJ
magiques	ADJ
magistrat	NC
magistrats	NC
magnifique	ADJ
magnifiques	ADJ
mai	NC
maillot	NC
maillots	NC
main	NC
mains	NC
maintenaient	V
maintenais	V
maintenait	V
maintenance	NC
maintenances	NC
maintenant	ADV
maintenant	VPR
maintenez	V
maintenez	VIMP
mainteniez	V
mainteniez	VS
maintenions	V
maintenions	VS
maintenir	VINF
maintenons	V
maintenons	VIMP
maintenu	VPP
maintenue	VPP
maintenues	VPP
maintenus	VPP
maintien	NC
maintiendra	V
maintiendrai	V
maintiendraient	V
maintiendrais	V
maintiendrait	V
maintiendras	V
maintiendrez	V
maintiendriez	V
maintiendrions	V
maintiendrons	V
maintiendront	V
maintienne	VS
maintiennent	V
maintiennent	VS
maintiennes	VS
maintiens	NC
maintiens	V
maintiens	VIMP
maintient	V
maintinrent	V
maintins	V
maintinsse	VS
maintinssent	VS
maintinsses	VS
maintinssiez	VS
maintinssions	VS
maintint	V
maintînmes	V
maintînt	VS
maintîntes	V
maire	NC
maires	NC
mairesse	NC
mairesses	NC
mairie	NC
mairies	NC
mais	CC
mais	NC
maison	NC
maisons	NC
majeur	ADJ
majeure	ADJ
majeures	ADJ
majeurs	ADJ
majorette	NC
majorettes	NC
majorité	NC
majorités	NC
mal	ADJ
mal	ADV
mal	NC
malade	ADJ
malade	NC
malades	ADJ
malades	NC
maladie	NC
maladies	NC
malaise	NC
malaises	NC
malgré	P
malheureuse	ADJ
malheureusement	ADV
malheureuses	ADJ
malheureux	ADJ
maman	NC
mamans	NC
mamie	NC
mamies	NC
manager	NC
managers	NC
manageur	NC
manageurs	NC
manche	NC
manches	NC
mandat	NC
mandats	NC
mange	V
mange	VIMP
mange	VS
mangea	V
mangeai	V
mangeaient	V
mangeais	V
mangeait	V
mangeant	VPR
mangeas	V
mangeasse	VS
mangeassent	VS
mangeasses	VS
mangeassiez	VS
mangeassions	VS
mangent	V
mangent	VS
mangeons	V
mangeons	VIMP
manger	VINF
mangera	V
mangerai	V
mangeraient	V
mangerais	V
mangerait	V
mangeras	V
mangerez	V
mangeriez	V
mangerions	V
mangerons	V
mangeront	V
manges	V
manges	VS
mangez	V
mangez	VIMP
mangeâmes	V
mangeât	VS
mangeâtes	V
mangiez	V
mangiez	VS
mangions	V
mangions	VS
mangèrent	V
mangé	VPP
mangée	VPP
mangées	VPP
mangés	VPP
manif	NC
manifesta	V
manifestai	V
manifestaient	V
manifestais	V
manifestait	V
manifestant	VPR
manifestas	V
manifestasse	VS
manifestassent	VS
manifestasses	VS
manifestassiez	VS
manifestassions	VS
manifestation	NC
manifestations	NC
manifeste	V
manifeste	VIMP
manifeste	VS
manifestent	V
manifestent	VS
manifester	VINF
manifestera	V
manifesterai	V
manifesteraient	V
manifesterais	V
manifesterait	V
manifesteras	V
manifesterez	V
manifesteriez	V
manifesterions	V
manifesterons	V
manifesteront	V
manifestes	V
manifestes	VS
manifestez	V
manifestez	VIMP
manifestiez	V
manifestiez	VS
manifestions	V
manifestions	VS
manifestons	V
manifestons	VIMP
manifestâmes	V
manifestât	VS
manifestâtes	V
manifestèrent	V
manifesté	VPP
manifestée	VPP
manifestées	VPP
manifestés	VPP
manifs	NC
manière	NC
manières	NC
manqua	V
manquai	V
manquaient	V
manquais	V
manquait	V
manquant	VPR
manquas	V
manquasse	VS
manquassent	VS
manquasses	VS
manquassiez	VS
manquassions	VS
manque	NC
manque	V
manque	VIMP
manque	VS
manquent	V
manquent	VS
manquer	VINF
manquera	V
manquerai	V
manqueraient	V
manquerais	V
manquerait	V
manqueras	V
manquerez	V
manqueriez	V
manquerions	V
manquerons	V
manqueront	V
manques	NC
manques	V
manques	VS
manquez	V
manquez	VIMP
manquiez	V
manquiez	VS
manquions	V
manquions	VS
manquons	V
manquons	VIMP
manquâmes	V
manquât	VS
manquâtes	V
manquèrent	V
manqué	VPP
manquée	VPP
manquées	VPP
manqués	VPP
manuel	ADJ
manuelle	ADJ
manuelles	ADJ
manuels	ADJ
manège	NC
manèges	NC
maquette	NC
maquettes	NC
maquillage	NC
maquillages	NC
marais	NC
marathon	NC
marathons	NC
marcha	V
marchai	V
marchaient	V
marchais	V
marchait	V
marchand	ADJ
marchande	ADJ
marchandes	ADJ
marchandise	NC
marchandises	NC
marchands	ADJ
marchant	VPR
marchas	V
marchasse	VS
marchassent	VS
marchasses	VS
marchassiez	VS
marchassions	VS
marche	NC
marche	V
marche	VIMP
marche	VS
marchent	V
marchent	VS
marcher	VINF
marchera	V
marcherai	V
marcheraient	V
marcherais	V
marcherait	V
marcheras	V
marcherez	V
marcheriez	V
marcherions	V
marcherons	V
marcheront	V
marches	NC
marches	V
marches	VS
marcheur	NC
marcheurs	NC
marcheuse	NC
marcheuses	NC
marchez	V
marchez	VIMP
marchiez	V
marchiez	VS
marchions	V
marchions	VS
marchons	V
marchons	VIMP
marchâmes	V
marchât	VS
marchâtes	V
marchèrent	V
marché	NC
marché	VPP
marchée	VPP
marchées	VPP
marchés	NC
marchés	VPP
mardi	NC
mardis	NC
marge	NC
marges	NC
mari	NC
maria	V
mariage	NC
mariages	NC
mariai	V
mariaient	V
mariais	V
mariait	V
mariant	VPR
marias	V
mariasse	VS
mariassent	VS
mariasses	VS
mariassiez	VS
mariassions	VS
marie	V
marie	VIMP
marie	VS
marient	V
marient	VS
marier	VINF
mariera	V
marierai	V
marieraient	V
marierais	V
marierait	V
marieras	V
marierez	V
marieriez	V
marierions	V
marierons	V
marieront	V
maries	V
maries	VS
mariez	V
mariez	VIMP
mariiez	V
mariiez	VS
mariions	V
mariions	VS
marin	ADJ
marine	ADJ
marines	ADJ
marins	ADJ
marionnette	NC
marionnettes	NC
marions	V
marions	VIMP
maris	NC
mariâmes	V
mariât	VS
mariâtes	V
marièrent	V
marié	ADJ
marié	NC
marié	VPP
mariée	ADJ
mariée	NC
mariée	VPP
mariées	ADJ
mariées	NC
mariées	VPP
mariés	ADJ
mariés	NC
mariés	VPP
marocain	ADJ
marocaine	ADJ
marocaines	ADJ
marocains	ADJ
marqua	V
marquai	V
marquaient	V
marquais	V
marquait	V
marquant	VPR
marquas	V
marquasse	VS
marquassent	VS
marquasses	VS
marquassiez	VS
marquassions	VS
marque	NC
marque	V
marque	VIMP
marque	VS
marquent	V
marquent	VS
marquer	VINF
marquera	V
marquerai	V
marqueraient	V
marquerais	V
marquerait	V
marqueras	V
marquerez	V
marqueriez	V
marquerions	V
marquerons	V
marqueront	V
marques	NC
marques	V
marques	VS
marqueur	NC
marqueurs	NC
marquez	V
marquez	VIMP
marquiez	V
marquiez	VS
marquions	V
marquions	VS
marquons	V
marquons	VIMP
marquâmes	V
marquât	VS
marquâtes	V
marquèrent	V
marqué	VPP
marquée	VPP
marquées	VPP
marqués	VPP
mars	NC
marteau	NC
marteaux	NC
masculin	ADJ
masculine	ADJ
masculines	ADJ
masculins	ADJ
masque	NC
masques	NC
masse	NC
masses	NC
massif	ADJ
massif	NC
massifs	ADJ
massifs	NC
massive	ADJ
massives	ADJ
match	NC
matches	NC
matchs	NC
maternel	ADJ
maternelle	ADJ
maternelle	NC
maternelles	ADJ
maternelles	NC
maternels	ADJ
maternité	NC
maternités	NC
math..	NC
maths	NC
mathématique	NC
mathématiques	NC
matin	ADV
matin	NC
matine	NC
matines	NC
matins	NC
matinée	NC
matinées	NC
matière	NC
matières	NC
matériaux	NC
matériel	ADJ
matériel	NC
matérielle	ADJ
matérielles	ADJ
matériels	ADJ
matériels	NC
mauvais	ADJ
mauvaise	ADJ
mauvaises	ADJ
maux	NC
max	NC
maxima	NC
maximum	NC
maximums	NC
maçon	NC
maçons	NC
maître	NC
maîtres	NC
maîtresse	NC
maîtresse	NC
maîtresses	NC
maîtresses	NC
maîtrisa	V
maîtrisai	V
maîtrisaient	V
maîtrisais	V
maîtrisait	V
maîtrisant	VPR
maîtrisas	V
maîtrisasse	VS
maîtrisassent	VS
maîtrisasses	VS
maîtrisassiez	VS
maîtrisassions	VS
maîtrise	NC
maîtrise	V
maîtrise	VIMP
maîtrise	VS
maîtrisent	V
maîtrisent	VS
maîtriser	VINF
maîtrisera	V
maîtriserai	V
maîtriseraient	V
maîtriserais	V
maîtriserait	V
maîtriseras	V
maîtriserez	V
maîtriseriez	V
maîtriserions	V
maîtriserons	V
maîtriseront	V
maîtrises	NC
maîtrises	V
maîtrises	VS
maîtrisez	V
maîtrisez	VIMP
maîtrisiez	V
maîtrisiez	VS
maîtrisions	V
maîtrisions	VS
maîtrisons	V
maîtrisons	VIMP
maîtrisâmes	V
maîtrisât	VS
maîtrisâtes	V
maîtrisèrent	V
maîtrisé	VPP
maîtrisée	VPP
maîtrisées	VPP
maîtrisés	VPP
me	CLO
me	CLO
me	CLR
meeting	NC
meetings	NC
meilleur	ADJ
meilleur	NC
meilleure	ADJ
meilleure	NC
meilleures	ADJ
meilleures	NC
meilleurs	ADJ
meilleurs	NC
membre	NC
membres	NC
mena	V
menace	NC
menace	V
menace	VIMP
menace	VS
menacent	V
menacent	VS
menacer	VINF
menacera	V
menacerai	V
menaceraient	V
menacerais	V
menacerait	V
menaceras	V
menacerez	V
menaceriez	V
menacerions	V
menacerons	V
menaceront	V
menaces	NC
menaces	V
menaces	VS
menacez	V
menacez	VIMP
menaciez	V
menaciez	VS
menacions	V
menacions	VS
menacèrent	V
menacé	VPP
menacée	VPP
menacées	VPP
menacés	VPP
menai	V
menaient	V
menais	V
menait	V
menant	VPR
menas	V
menasse	VS
menassent	VS
menasses	VS
menassiez	VS
menassions	VS
menaça	V
menaçai	V
menaçaient	V
menaçais	V
menaçait	V
menaçant	VPR
menaças	V
menaçasse	VS
menaçassent	VS
menaçasses	VS
menaçassiez	VS
menaçassions	VS
menaçons	V
menaçons	VIMP
menaçâmes	V
menaçât	VS
menaçâtes	V
mener	VINF
meneur	NC
meneurs	NC
meneuse	NC
meneuses	NC
menez	V
menez	VIMP
meniez	V
meniez	VS
menions	V
menions	VS
menons	V
menons	VIMP
mensuel	ADJ
mensuelle	ADJ
mensuelles	ADJ
mensuels	ADJ
mention	NC
mentions	NC
menu	ADJ
menu	NC
menue	ADJ
menues	ADJ
menuiserie	NC
menuiseries	NC
menuisier	NC
menuisiers	NC
menuisière	NC
menuisières	NC
menus	ADJ
menus	NC
menâmes	V
menât	VS
menâtes	V
menèrent	V
mené	VPP
menée	VPP
menées	VPP
menés	VPP
mer	NC
merci	NC
mercis	NC
mercredi	NC
mercredis	NC
mers	NC
merveille	NC
merveilles	NC
merveilleuse	ADJ
merveilleuses	ADJ
merveilleux	ADJ
mes	DET
mesdames	NC
mesdemoiselles	NC
message	NC
messages	NC
messe	NC
messes	NC
messieurs	NC
messin	NC
messine	NC
messines	NC
messins	NC
mesura	V
mesurai	V
mesuraient	V
mesurais	V
mesurait	V
mesurant	VPR
mesuras	V
mesurasse	VS
mesurassent	VS
mesurasses	VS
mesurassiez	VS
mesurassions	VS
mesure	NC
mesure	V
mesure	VIMP
mesure	VS
mesurent	V
mesurent	VS
mesurer	VINF
mesurera	V
mesurerai	V
mesureraient	V
mesurerais	V
mesurerait	V
mesureras	V
mesurerez	V
mesureriez	V
mesurerions	V
mesurerons	V
mesureront	V
mesures	NC
mesures	V
mesures	VS
mesurez	V
mesurez	VIMP
mesuriez	V
mesuriez	VS
mesurions	V
mesurions	VS
mesurons	V
mesurons	VIMP
mesurâmes	V
mesurât	VS
mesurâtes	V
mesurèrent	V
mesuré	VPP
mesurée	VPP
mesurées	VPP
mesurés	VPP
met	V
mets	V
mets	VIMP
mettaient	V
mettais	V
mettait	V
mettant	VPR
mette	VS
mettent	V
mettent	VS
mettes	VS
mettez	V
mettez	VIMP
mettiez	V
mettiez	VS
mettions	V
mettions	VS
mettons	V
mettons	VIMP
mettra	V
mettrai	V
mettraient	V
mettrais	V
mettrait	V
mettras	V
mettre	VINF
mettrez	V
mettriez	V
mettrions	V
mettrons	V
mettront	V
meuble	NC
meubles	NC
meurtre	NC
meurtres	NC
meusien	ADJ
meusien	NC
meusienne	ADJ
meusienne	NC
meusiennes	ADJ
meusiennes	NC
meusiens	ADJ
meusiens	NC
mi-temps	NC
micro	NC
micros	NC
midi	NC
midis	NC
miel	NC
miels	NC
mieux	ADV
mieux	NC
milieu	NC
milieux	NC
militaire	ADJ
militaire	NC
militaires	ADJ
militaires	NC
militant	NC
militante	NC
militantes	NC
militants	NC
milliard	NC
milliards	NC
millier	NC
milliers	NC
millimètre	NC
millimètres	NC
million	NC
millions	NC
millénaire	NC
millénaires	NC
min	NC
min	NC
mine	NC
mines	NC
mineur	ADJ
mineur	NC
mineure	ADJ
mineure	NC
mineures	ADJ
mineures	NC
mineurs	ADJ
mineurs	NC
mini	NC
miniature	ADJ
miniatures	ADJ
minima	NC
minime	ADJ
minime	NC
minimes	ADJ
minimes	NC
minimum	ADJ
minimum	NC
minimums	ADJ
minimums	NC
minis	NC
ministre	NC
ministres	NC
ministère	NC
ministères	NC
minitel	NC
minitels	NC
mins	NC
minuit	NC
minuits	NC
minute	NC
minutes	NC
minéral	ADJ
minérale	ADJ
minérales	ADJ
minéraux	ADJ
mirent	V
mis	V
mis	VPP
mise	NC
mise	VPP
mises	NC
mises	VPP
misse	VS
missent	VS
misses	VS
missiez	VS
mission	NC
missions	NC
missions	VS
mit	V
mixte	ADJ
mixtes	ADJ
mm	NC
mn	NC
mobile	ADJ
mobiles	ADJ
mobilier	NC
mobiliers	NC
mobilisa	V
mobilisai	V
mobilisaient	V
mobilisais	V
mobilisait	V
mobilisant	VPR
mobilisas	V
mobilisasse	VS
mobilisassent	VS
mobilisasses	VS
mobilisassiez	VS
mobilisassions	VS
mobilisation	NC
mobilisations	NC
mobilise	V
mobilise	VIMP
mobilise	VS
mobilisent	V
mobilisent	VS
mobiliser	VINF
mobilisera	V
mobiliserai	V
mobiliseraient	V
mobiliserais	V
mobiliserait	V
mobiliseras	V
mobiliserez	V
mobiliseriez	V
mobiliserions	V
mobiliserons	V
mobiliseront	V
mobilises	V
mobilises	VS
mobilisez	V
mobilisez	VIMP
mobilisiez	V
mobilisiez	VS
mobilisions	V
mobilisions	VS
mobilisons	V
mobilisons	VIMP
mobilisâmes	V
mobilisât	VS
mobilisâtes	V
mobilisèrent	V
mobilisé	VPP
mobilisée	VPP
mobilisées	VPP
mobilisés	VPP
modalité	NC
modalités	NC
mode	NC
moderne	ADJ
modernes	ADJ
modes	NC
modeste	ADJ
modestes	ADJ
modif	NC
modifia	V
modifiai	V
modifiaient	V
modifiais	V
modifiait	V
modifiant	VPR
modifias	V
modifiasse	VS
modifiassent	VS
modifiasses	VS
modifiassiez	VS
modifiassions	VS
modification	NC
modifications	NC
modifie	V
modifie	VIMP
modifie	VS
modifient	V
modifient	VS
modifier	VINF
modifiera	V
modifierai	V
modifieraient	V
modifierais	V
modifierait	V
modifieras	V
modifierez	V
modifieriez	V
modifierions	V
modifierons	V
modifieront	V
modifies	V
modifies	VS
modifiez	V
modifiez	VIMP
modifiiez	V
modifiiez	VS
modifiions	V
modifiions	VS
modifions	V
modifions	VIMP
modifiâmes	V
modifiât	VS
modifiâtes	V
modifièrent	V
modifié	VPP
modifiée	VPP
modifiées	VPP
modifiés	VPP
modifs	NC
modèle	NC
modèles	NC
moi	CLO
moi	CLO
moi	PRO
moi-même	PRO
moindre	ADJ
moindres	ADJ
moins	ADV
mois	NC
moitié	NC
moitiés	NC
moment	NC
moments	NC
mon	DET
monde	NC
mondes	NC
mondial	ADJ
mondiale	ADJ
mondiales	ADJ
mondiaux	ADJ
moniteur	NC
moniteurs	NC
monitrice	NC
monitrices	NC
monnaie	NC
monnaies	NC
monsieur	NC
monstre	NC
monstres	NC
mont	NC
monta	V
montage	NC
montages	NC
montagne	NC
montagnes	NC
montai	V
montaient	V
montais	V
montait	V
montant	NC
montant	VPR
montants	NC
montas	V
montasse	VS
montassent	VS
montasses	VS
montassiez	VS
montassions	VS
monte	V
monte	VIMP
monte	VS
montent	V
montent	VS
monter	VINF
montera	V
monterai	V
monteraient	V
monterais	V
monterait	V
monteras	V
monterez	V
monteriez	V
monterions	V
monterons	V
monteront	V
montes	V
montes	VS
montez	V
montez	VIMP
montgolfière	NC
montgolfières	NC
montiez	V
montiez	VS
montions	V
montions	VS
montons	V
montons	VIMP
montra	V
montrai	V
montraient	V
montrais	V
montrait	V
montrant	VPR
montras	V
montrasse	VS
montrassent	VS
montrasses	VS
montrassiez	VS
montrassions	VS
montre	NC
montre	V
montre	VIMP
montre	VS
montrent	V
montrent	VS
montrer	VINF
montrera	V
montrerai	V
montreraient	V
montrerais	V
montrerait	V
montreras	V
montrerez	V
montreriez	V
montrerions	V
montrerons	V
montreront	V
montres	NC
montres	V
montres	VS
montrez	V
montrez	VIMP
montriez	V
montriez	VS
montrions	V
montrions	VS
montrons	V
montrons	VIMP
montrâmes	V
montrât	VS
montrâtes	V
montrèrent	V
montré	VPP
montrée	VPP
montrées	VPP
montrés	VPP
monts	NC
montâmes	V
montât	VS
montâtes	V
montèrent	V
monté	VPP
montée	NC
montée	VPP
montées	NC
montées	VPP
montés	VPP
monument	NC
monuments	NC
moral	ADJ
morale	ADJ
morales	ADJ
moraux	ADJ
morceau	NC
morceaux	NC
mort	ADJ
mort	NC
morte	ADJ
morte	NC
mortel	ADJ
mortelle	ADJ
mortelles	ADJ
mortels	ADJ
mortes	ADJ
mortes	NC
morts	ADJ
morts	NC
mot	NC
motard	NC
motards	NC
moteur	NC
moteurs	NC
motif	NC
motifs	NC
motion	NC
motions	NC
motiva	V
motivai	V
motivaient	V
motivais	V
motivait	V
motivant	VPR
motivas	V
motivasse	VS
motivassent	VS
motivasses	VS
motivassiez	VS
motivassions	VS
motivation	NC
motivations	NC
motive	V
motive	VIMP
motive	VS
motivent	V
motivent	VS
motiver	VINF
motivera	V
motiverai	V
motiveraient	V
motiverais	V
motiverait	V
motiveras	V
motiverez	V
motiveriez	V
motiverions	V
motiverons	V
motiveront	V
motives	V
motives	VS
motivez	V
motivez	VIMP
motiviez	V
motiviez	VS
motivions	V
motivions	VS
motivons	V
motivons	VIMP
motivâmes	V
motivât	VS
motivâtes	V
motivèrent	V
motivé	VPP
motivée	VPP
motivées	VPP
motivés	VPP
moto	NC
motos	NC
mots	NC
mots	NC
mouche	NC
mouches	NC
moulin	NC
moulins	NC
mousse	NC
mousses	NC
mouvement	NC
mouvements	NC
moyen	ADJ
moyen	NC
moyenne	ADJ
moyenne	NC
moyennes	ADJ
moyennes	NC
moyens	ADJ
moyens	NC
moyens	NC
msg	NC
msge	NC
multimédia	ADJ
multimédias	ADJ
multiple	ADJ
multiples	ADJ
multiplia	V
multipliai	V
multipliaient	V
multipliais	V
multipliait	V
multipliant	VPR
multiplias	V
multipliasse	VS
multipliassent	VS
multipliasses	VS
multipliassiez	VS
multipliassions	VS
multiplie	V
multiplie	VIMP
multiplie	VS
multiplient	V
multiplient	VS
multiplier	VINF
multipliera	V
multiplierai	V
multiplieraient	V
multiplierais	V
multiplierait	V
multiplieras	V
multiplierez	V
multiplieriez	V
multiplierions	V
multiplierons	V
multiplieront	V
multiplies	V
multiplies	VS
multipliez	V
multipliez	VIMP
multipliiez	V
multipliiez	VS
multipliions	V
multipliions	VS
multiplions	V
multiplions	VIMP
multipliâmes	V
multipliât	VS
multipliâtes	V
multiplièrent	V
multiplié	VPP
multipliée	VPP
multipliées	VPP
multipliés	VPP
muni	VPP
municipal	ADJ
municipale	ADJ
municipales	ADJ
municipalité	NC
municipalités	NC
municipaux	ADJ
munie	VPP
munies	VPP
munir	VINF
munira	V
munirai	V
muniraient	V
munirais	V
munirait	V
muniras	V
munirent	V
munirez	V
muniriez	V
munirions	V
munirons	V
muniront	V
munis	V
munis	VIMP
munis	VPP
munissaient	V
munissais	V
munissait	V
munissant	VPR
munisse	VS
munissent	V
munissent	VS
munisses	VS
munissez	V
munissez	VIMP
munissiez	V
munissiez	VS
munissions	V
munissions	VS
munissons	V
munissons	VIMP
munit	V
munîmes	V
munît	VS
munîtes	V
mur	NC
murs	NC
murs	NC
musculation	NC
musculations	NC
musette	NC
musettes	NC
musical	ADJ
musicale	ADJ
musicales	ADJ
musicaux	ADJ
musicien	NC
musicienne	NC
musiciennes	NC
musiciens	NC
musique	NC
musiques	NC
musée	NC
musées	NC
mutation	NC
mutations	NC
mutualité	NC
mutualités	NC
mutuel	ADJ
mutuelle	ADJ
mutuelle	NC
mutuelles	ADJ
mutuelles	NC
mutuels	ADJ
mystère	NC
mystères	NC
mène	V
mène	VIMP
mène	VS
mènent	V
mènent	VS
mènera	V
mènerai	V
mèneraient	V
mènerais	V
mènerait	V
mèneras	V
mènerez	V
mèneriez	V
mènerions	V
mènerons	V
mèneront	V
mènes	V
mènes	VS
mère	NC
mères	NC
mètre	NC
mètres	NC
mécanicien	NC
mécanicienne	NC
mécaniciennes	NC
mécaniciens	NC
mécanique	ADJ
mécanique	NC
mécaniques	ADJ
mécaniques	NC
méchoui	NC
méchouis	NC
médaille	NC
médailles	NC
médaillé	NC
médaillée	NC
médaillées	NC
médaillés	NC
médecin	NC
médecine	NC
médecines	NC
médecins	NC
média	NC
médias	NC
médical	ADJ
médicale	ADJ
médicales	ADJ
médicament	NC
médicaments	NC
médicaux	ADJ
médiéval	ADJ
médiévale	ADJ
médiévales	ADJ
médiévaux	ADJ
médoc	NC
médocs	NC
mélange	NC
mélanges	NC
mélodie	NC
mélodies	NC
mélomane	NC
mélomanes	NC
mémoire	NC
mémoires	NC
ménage	NC
ménage	V
ménage	VIMP
ménage	VS
ménagea	V
ménageai	V
ménageaient	V
ménageais	V
ménageait	V
ménageant	VPR
ménageas	V
ménageasse	VS
ménageassent	VS
ménageasses	VS
ménageassiez	VS
ménageassions	VS
ménagent	V
ménagent	VS
ménageons	V
ménageons	VIMP
ménager	ADJ
ménager	VINF
ménagera	V
ménagerai	V
ménageraient	V
ménagerais	V
ménagerait	V
ménageras	V
ménagerez	V
ménageriez	V
ménagerions	V
ménagerons	V
ménageront	V
ménagers	ADJ
ménages	NC
ménages	V
ménages	VS
ménagez	V
ménagez	VIMP
ménageâmes	V
ménageât	VS
ménageâtes	V
ménagiez	V
ménagiez	VS
ménagions	V
ménagions	VS
ménagère	ADJ
ménagèrent	V
ménagères	ADJ
ménagé	ADJ
ménagé	VPP
ménagée	ADJ
ménagée	VPP
ménagées	ADJ
ménagées	VPP
ménagés	ADJ
ménagés	VPP
mérita	V
méritai	V
méritaient	V
méritais	V
méritait	V
méritant	ADJ
méritant	VPR
méritante	ADJ
méritantes	ADJ
méritants	ADJ
méritas	V
méritasse	VS
méritassent	VS
méritasses	VS
méritassiez	VS
méritassions	VS
mérite	NC
mérite	V
mérite	VIMP
mérite	VS
méritent	V
méritent	VS
mériter	VINF
méritera	V
mériterai	V
mériteraient	V
mériterais	V
mériterait	V
mériteras	V
mériterez	V
mériteriez	V
mériterions	V
mériterons	V
mériteront	V
mérites	NC
mérites	V
mérites	VS
méritez	V
méritez	VIMP
méritiez	V
méritiez	VS
méritions	V
méritions	VS
méritons	V
méritons	VIMP
méritâmes	V
méritât	VS
méritâtes	V
méritèrent	V
mérité	ADJ
mérité	VPP
méritée	ADJ
méritée	VPP
méritées	ADJ
méritées	VPP
mérités	ADJ
mérités	VPP
métal	NC
métallique	ADJ
métalliques	ADJ
métaux	NC
méthode	NC
méthodes	NC
métier	NC
métiers	NC
météo	NC
météos	NC
même	ADJ
même	ADV
mêmes	ADJ
mîmes	V
mît	VS
mîtes	V
n'	ADV
nage	NC
nages	NC
nageur	NC
nageurs	NC
nageuse	NC
nageuses	NC
nais	V
nais	VIMP
naissaient	V
naissais	V
naissait	V
naissance	NC
naissances	NC
naissant	VPR
naisse	VS
naissent	V
naissent	VS
naisses	VS
naissez	V
naissez	VIMP
naissiez	V
naissiez	VS
naissions	V
naissions	VS
naissons	V
naissons	VIMP
nan	ADV
nancéien	ADJ
nancéien	NC
nancéienne	ADJ
nancéiennes	ADJ
nancéiens	ADJ
nancéiens	NC
naquirent	V
naquis	V
naquisse	VS
naquissent	VS
naquisses	VS
naquissiez	VS
naquissions	VS
naquit	V
naquîmes	V
naquît	VS
naquîtes	V
natal	ADJ
natale	ADJ
natales	ADJ
natals	ADJ
natation	NC
natations	NC
nataux	ADJ
natif	NC
natifs	NC
nation	NC
national	ADJ
nationale	ADJ
nationale	NC
nationales	ADJ
nationales	NC
nationalité	NC
nationalités	NC
nationaux	ADJ
